Month,Date,WMT,PG,MSFT
1,1-Jan-05,39.437527,37.097965,19.78248
2,1-Feb-05,38.842953,37.166348,18.939392
3,1-Mar-05,37.714016,37.103348,18.250292
4,1-Apr-05,35.583309,37.908428,19.103527
5,1-May-05,35.651257,38.808479,19.481077
6,1-Jun-05,36.499935,37.119629,18.815693
7,1-Jul-05,37.370781,39.146267,19.398951
8,1-Aug-05,34.046413,39.240913,20.739687
9,1-Sep-05,33.288105,42.055965,19.547665
10,1-Oct-05,35.939301,39.601643,19.524864
11,1-Nov-05,36.888874,40.656063,21.02911
12,1-Dec-05,35.551876,41.14658,19.92498
13,1-Jan-06,35.134243,42.106281,21.448881
14,1-Feb-06,34.562767,42.808277,20.473581
15,1-Mar-06,35.995281,41.165386,20.8029
16,1-Apr-06,34.43837,41.579674,18.463436
17,1-May-06,37.05394,38.966133,17.316643
18,1-Jun-06,36.969002,39.93578,17.883045
19,1-Jul-06,34.152382,40.366745,18.466354
20,1-Aug-06,34.321236,44.709225,19.725079
21,1-Sep-06,37.994869,44.76701,21.068773
22,1-Oct-06,37.964058,45.785427,22.116436
23,1-Nov-06,35.514271,45.579041,22.617157
24,1-Dec-06,35.575905,46.653355,23.080967
25,1-Jan-07,36.874882,47.088894,23.853937
26,1-Feb-07,37.354275,46.308002,21.774641
27,1-Mar-07,36.302689,46.067329,21.617455
28,1-Apr-07,37.230072,46.971756,23.223049
29,1-May-07,36.981468,46.607746,23.804794
30,1-Jun-07,37.55117,44.876911,22.932539
31,1-Jul-07,35.865227,45.368294,22.559017
32,1-Aug-07,34.054409,48.1675,22.356697
33,1-Sep-07,34.24194,51.877213,23.005114
34,1-Oct-07,35.465714,51.272457,28.744678
35,1-Nov-07,37.575909,54.847618,26.238007
36,1-Dec-07,37.28566,54.417721,27.891703
37,1-Jan-08,39.983192,48.488255,25.541286
38,1-Feb-08,39.077003,49.299114,21.310514
39,1-Mar-08,41.511925,52.196869,22.321413
40,1-Apr-08,45.905766,49.947193,22.431522
41,1-May-08,45.71574,49.484112,22.274223
42,1-Jun-08,44.684174,45.558361,21.716801
43,1-Jul-08,46.608276,49.057072,20.303745
44,1-Aug-08,46.966087,52.598057,21.543118
45,1-Sep-08,47.810108,52.537746,21.153511
46,1-Oct-08,44.55304,48.655273,17.697933
47,1-Nov-08,44.608929,48.82222,16.025621
48,1-Dec-08,44.752605,46.902714,15.511801
49,1-Jan-09,37.778564,41.349045,13.644643
50,1-Feb-09,39.478291,36.802818,12.886605
51,1-Mar-09,41.771297,35.977665,14.758518
52,1-Apr-09,40.636261,37.773125,16.276951
53,1-May-09,40.104122,40.026005,16.783087
54,1-Jun-09,39.26656,39.378677,19.21818
55,1-Jul-09,40.433865,42.777119,19.01605
56,1-Aug-09,41.236362,42.031536,19.929657
57,1-Sep-09,40.011765,44.991055,20.911688
58,1-Oct-09,40.492645,45.053204,22.545919
59,1-Nov-09,44.462025,48.801586,23.911846
60,1-Dec-09,43.565453,47.455338,24.89135
61,1-Jan-10,43.768761,48.175426,23.013071
62,1-Feb-10,44.293037,49.885136,23.413229
63,1-Mar-10,45.546383,49.877258,24.031397
64,1-Apr-10,44.188461,49.002201,25.056971
65,1-May-10,41.651169,48.52935,21.167976
66,1-Jun-10,39.829971,47.647575,18.964071
67,1-Jul-10,42.415142,48.584953,21.271736
68,1-Aug-10,41.545128,47.77227,19.343184
69,1-Sep-10,44.604546,48.01247,20.291504
70,1-Oct-10,45.146271,50.894642,22.097773
71,1-Nov-10,45.079601,49.268997,20.929499
72,1-Dec-10,44.946255,51.899044,23.267279
73,1-Jan-11,46.988205,50.930927,23.117222
74,1-Feb-11,43.56068,51.243477,22.158522
75,1-Mar-11,43.619331,50.065002,21.291574
76,1-Apr-11,46.397697,52.747063,21.736027
77,1-May-11,46.600239,54.905415,20.972919
78,1-Jun-11,45.141628,52.094589,21.946026
79,1-Jul-11,44.776352,50.39006,23.127737
80,1-Aug-11,45.184109,52.612236,22.452477
81,1-Sep-11,44.407215,52.199142,21.141701
82,1-Oct-11,48.531357,52.868366,22.619667
83,1-Nov-11,50.396645,53.782501,21.727795
84,1-Dec-11,51.132481,55.56496,22.21661
85,1-Jan-12,52.829536,52.508091,25.271822