hotel_id,price,distance,rating,scarce_room,stars,num_reviews
21897,81,1.7,3.9,0,4,189
21901,85,1.4,3.7,0,4,53
21902,83,1.7,4,0,3,55
21903,82,1.2,3.9,1,4,33
21906,103,0.9,3.9,1,4,57
21907,150,1,4.6,0,4,161
21912,60,1.1,4.1,1,4,203
21913,128,0.8,4,0,4,251
21917,85,1.7,4.1,0,4,18
21918,77,0.9,3.7,0,3,20
21919,78,0.8,3.9,1,3,77
21920,78,0.9,4,1,3,76
21924,77,4.2,3.9,1,3,77
21925,77,3.9,2.7,0,3,193
21926,95,3.6,4.3,0,4,94
21930,208,2.9,4.1,1,4,178
21933,87,3.4,3.7,1,3,330
21935,54,2,3.5,0,3,194
21940,99,1.7,4.4,0,3.5,441
21941,75,1.7,4.4,0,3.5,1122
21943,76,2.1,4.4,0,3,362
21946,91,1.9,4.5,0,4,525
21959,71,1.7,4,0,4,821
21965,113,0.2,4.4,0,3,77
21968,156,0.3,4.5,1,3,184
21970,133,0.3,4.3,1,4,319
21971,123,0.5,4.1,1,4,73
21972,219,0.3,4.5,1,4,81
21973,152,0.3,4.3,0,4,271
21975,115,0.1,4.3,1,4,211
21977,138,0.2,4.5,0,4,316
21980,146,0.1,4.4,0,4,336
21984,98,0.5,3.7,1,3,88
21985,121,0.3,4.5,1,3.5,140
21986,149,0.2,4,0,4,391
21987,120,0.3,3.9,0,3,320
21988,157,0.4,4.4,1,3,21
21995,112,0.2,4,0,4,505
21996,138,0.3,4.3,0,4,386
22009,158,0.3,4.3,1,3,47
22011,218,0.2,4.6,1,4,124
22012,218,0.1,4.5,0,4,115
22013,135,0.3,3.9,0,3,110
22016,179,0.5,4.4,1,4,467
22018,157,0.7,4.5,0,4,650
22019,146,0.3,4.5,1,4,95
22021,157,0.1,4.1,1,4,168
22023,108,0.3,3.5,1,3,175
22026,127,0.8,4,0,4,426
22028,163,0.4,4.1,1,4,148
22031,231,0.1,4.4,0,4,56
22032,116,0.4,4.4,1,4,247
22037,166,0.6,4.3,1,4,703
22042,169,0.3,4.5,1,4,81
22050,242,0.05,4.8,0,4,404
22051,223,0.5,3.5,1,4,123
22052,149,0.3,4.4,1,4,653
22054,114,0.5,4,0,4,388
22061,139,0.2,3.5,1,4,34
22064,79,1.4,3.5,1,3,102
22071,110,0.9,4.1,0,3,354
22072,88,0.9,4.4,1,3,92
22075,59,1.6,3.9,1,3,128
22076,119,0.9,4,0,4,530
22077,152,0.9,4.3,0,4,342
22078,102,1,4,0,4,194
22080,54,1.1,3.2,1,3,63
22084,94,1,4.1,1,3,169
22088,115,0.9,4.5,0,4,765
22090,68,0.9,3.7,1,3,43
22093,153,0.2,4.1,1,4,184
22095,169,0.3,4.1,1,4,313
22097,182,0.5,4.5,0,4,323
22101,142,0.1,4.4,0,4,512
22104,110,0.6,4.3,0,4,340
22117,82,1.4,4,0,4,181
22118,82,1.7,4.1,1,4,359
22119,66,1.8,3.9,0,3,160
22120,169,0.8,4.1,0,4,303
22123,109,1.5,4.1,0,4,173
22125,104,0.7,3.4,1,3,114
22126,145,0.9,4.3,0,3.5,249
22130,85,0.8,3.5,1,3,13
22136,110,1.3,3.7,1,3,109
22138,134,0.6,4.3,1,4,171
22140,79,1.3,3.7,1,4,79
22142,132,1,4.1,0,4,281
22144,128,0.6,4.1,0,4,267
22145,99,1.5,4.5,0,3,183
22149,86,1.8,4,0,4,136
22152,63,1,3.4,1,3,242
22155,134,0.6,4,1,3.5,16
22157,79,0.9,3.7,0,3,122
22158,138,0.5,4,0,4,250
22159,113,1,4.5,1,4,603
22162,84,1.5,3.9,0,3,152
22165,68,0.9,4,1,3,84
22166,102,1.5,3.9,0,3.5,208
22169,82,1.6,4.1,0,3,267
22170,66,1.1,4,1,3,275
22176,113,0.8,4.5,0,3,374
22177,106,1,4.5,1,3,468
22179,89,1.6,4.1,0,3,422
22182,106,0.8,4.1,1,4,527
22183,100,0.8,4,1,4,637
22184,75,0.7,4.1,0,3,461
22185,84,0.8,2.2,1,3,3
22187,151,0.5,4.6,0,4,104
22188,87,0.9,3.5,0,3,90
22189,117,0.5,4.4,1,4,75
22190,120,1.9,4.5,0,4,139
22198,174,1.5,4.3,0,4,144
22199,63,2,3.5,0,3,80
22201,100,1.5,4.5,0,3.5,58
22203,86,1.4,3.9,0,4,303
22205,67,1.8,4,0,3,82
22206,129,1.3,4.1,0,4,248
22212,86,1.3,4,1,3,85
22214,131,0.7,4.1,0,4,258
22218,80,1.4,3.9,0,3,44
22219,93,1.1,4,1,4,125
22222,77,1.9,4,0,3,161
22223,140,0.8,4.8,1,4,210
22224,99,1,4,1,4,264
22226,105,1.4,4.4,0,4,162
22227,100,1.7,4.5,0,3.5,581
22229,82,1.1,3.9,0,3,39
22230,82,1.8,3.9,0,4,484
22235,87,1.9,3.5,0,4,45
22236,100,1.6,3.7,0,4,98
22237,84,1.6,4.3,0,4,239
22239,98,0.8,3.7,1,4,100
22241,99,1.8,4.1,0,3,305
22246,76,1.6,3.5,0,3,141
22248,113,0.8,3.7,1,3,6
22249,110,0.9,4.4,0,4,328
22250,184,1,4.6,0,4,123
22253,99,1.7,4.1,0,4,308
22254,122,0.8,3.9,1,3,54
22255,122,1.7,4.3,0,4,544
22256,105,1.7,4,0,4,359
22259,109,1.4,4,0,4,98
22260,105,1.2,4.1,1,3,54
22268,52,3.1,3.5,0,3,69
22271,80,4.1,4,0,4,83
22275,70,1.8,3.9,0,4,136
22277,136,1.9,4.5,0,3,156
22279,80,2.1,4.1,1,3,81
22281,81,2.4,4.1,1,3,54
22285,66,3.6,3.7,1,4,225
22286,77,2.8,4,0,3,144
22288,69,2.1,3.7,0,4,525
22289,83,2.1,4.1,0,3,113
22293,77,1.8,3.9,0,4,78
22296,121,1.7,3.9,0,4,134
22299,68,3.6,3.5,1,3,38
22300,63,2,3.7,0,3,65
22301,101,2.1,4.5,0,3,92
22302,75,2.6,3.7,0,4,100
22303,156,3.6,4.3,0,4,910
22304,56,3.7,3.5,0,3,79
22306,82,2.4,4.5,0,3.5,1541
22307,82,2.6,4.4,0,4,183
22309,106,4.1,3.7,1,3,30
22310,85,3.1,2.7,1,3,24
22311,83,2.6,4.5,1,3.5,18
22312,92,2.9,4.1,0,4,140
22328,117,2,4,0,4,124
22331,66,3.9,3.7,0,3,33
22334,81,3.7,4.1,1,3.5,21
22335,109,3.5,4,0,4,160
22340,97,3.1,4,0,4,72
22341,74,4.8,3.9,1,4,65
22342,69,3.7,3.7,0,4,147
22343,83,3.9,4,0,4,45
22344,50,3.9,3.9,0,3,50
22348,77,3.7,4,1,3,26
22349,102,5.3,4,0,3,28
22353,130,6.6,4.4,1,3,12
22354,78,3.2,4.3,0,3,171
22355,76,3.3,3.7,1,3,34
22356,68,4.5,4,1,4,69
22358,116,2.7,4,0,4,84
22359,172,2.2,4.1,1,4,212
22362,87,2.4,4,1,3,12
22363,90,4.6,3,1,3,89
22364,100,2.7,4.4,1,3.5,74
22380,84,1.9,4.4,0,3,186
22382,185,2.1,4.4,1,4,45
22384,85,3,4,0,4,168
22386,110,1.6,4.5,0,3.5,77
22387,86,1.6,4.3,0,3,72
22388,118,1,4.1,0,4,158
22389,126,0.9,4.5,1,3.5,15
22390,92,1.3,4.3,0,3,291
22391,197,0.8,4.8,1,4,317
22394,135,1.2,4.5,0,4,280
22395,125,1.2,4.4,0,4,47
22397,134,0.8,4.5,0,4,125
22398,91,0.9,3.5,1,3,34
22399,110,0.8,3.9,0,3,112
22401,100,1.2,4,1,3,77
22402,95,1.5,4.1,1,4,572
22403,73,1.5,3.4,1,3,53
22407,100,1,4.4,1,4,112
22408,58,1.4,3.2,0,3,169